candidate_id,module_path,artifact_selector,mapping_status,notes
RCM-06573,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-08872,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07927,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06900,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-08863,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07010,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01361,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01178,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-02147,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-08083,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-04654,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-00800,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-09033,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-09869,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-03879,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-05634,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10724,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06436,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-02666,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-02454,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10140,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07196,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07090,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07480,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-08879,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07516,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01344,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-02559,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-11151,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-05669,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07351,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
