candidate_id,module_path,artifact_selector,mapping_status,notes
RCM-05889,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-03854,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-04667,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-07473,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-04485,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08218,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08830,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-10266,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-00023,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08131,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-02539,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-10396,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-04658,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-05896,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-04146,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08336,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-05931,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01847,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08870,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08016,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-09604,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-06571,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-09724,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08134,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08036,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-05905,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-00879,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-10085,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-06690,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-04766,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-03904,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-02434,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-09185,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08543,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-10456,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01690,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08887,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01857,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
